קידום,סטטוס,מטרה,תאריך יצירה,עלות,חשיפות,צפיות,מנויים,צפיות בעקבות מודעה,חותמת_זמן
שירת מוחין לקראת הדרת...,פעיל,הגדלת הקהל,17 במאי 2026,0.00 ₪,0,0,0,0,16 במאי 2026
יום ירושלים - הניספים לשלמות | ח...,מושהה,יותר צפיות בסרטונים,14 במאי 2026,35.66 ₪,"4,275","1,291",0,-,16 במאי 2026
צבי סוכות זועק: הדם שראיתי ב...,נדחה,הגדלת הקהל,14 במאי 2026,0.00 ₪,0,0,0,0,16 במאי 2026
איך משה רבינו לא הבין את דברי ר...,הסתיים,הגדלת הקהל,13 במאי 2026,9.91 ₪,"2,400",91,10,1,16 במאי 2026
הסוד שמאחורי לימוד התורה. איך...,הסתיים,הגדלת הקהל,13 במאי 2026,9.90 ₪,"1,436",59,8,1,16 במאי 2026
שיחה לפרשת במדבר - הרב זלמן ב...,הסתיים,הגדלת הקהל,11 במאי 2026,84.20 ₪,"8,762",181,44,2,16 במאי 2026
מה יש לנו ללמוד משנתיים של מלח...,הסתיים,הגדלת הקהל,11 במאי 2026,9.90 ₪,"2,094",55,10,0,16 במאי 2026
פצצת אטום של נס! | הרב דניי...,הסתיים,הגדלת הקהל,11 במאי 2026,55.61 ₪,"14,085",521,31,23,16 במאי 2026
סוד הקורבנות: למה העולם לא יכו...,הסתיים,הגדלת הקהל,11 במאי 2026,16.85 ₪,"3,691",75,21,0,16 במאי 2026
עין טובה יותר מציאות טובה | הרב י...,הסתיים,הגדלת הקהל,11 במאי 2026,9.94 ₪,"2,470",181,6,2,16 במאי 2026
זה פשוט לא טבעי: צבי סוכות על ה...,הסתיים,הגדלת הקהל,11 במאי 2026,9.94 ₪,"1,149",260,0,13,16 במאי 2026
זה קורה עכשיו | הנבואה על גוג ומג...,הסתיים,הגדלת הקהל,11 במאי 2026,9.95 ₪,"2,258",54,15,0,16 במאי 2026
הקרב שלא רואים | הרב זלמן מלמד...,הסתיים,הגדלת הקהל,11 במאי 2026,9.92 ₪,"1,221",92,4,5,16 במאי 2026
זה פשוט לא טבעי: צבי סוכות על ה...,הסתיים,הגדלת הקהל,10 במאי 2026,2.19 ₪,252,43,0,0,16 במאי 2026
הנאגרים שהם יהרגו בעזה - שלום...,הסתיים,הגדלת הקהל,10 במאי 2026,9.83 ₪,"1,759",188,6,8,16 במאי 2026
פצצת אטום של נס! | הרב ויצן מתר...,הסתיים,הגדלת הקהל,6 במאי 2026,48.26 ₪,"12,160",718,25,15,16 במאי 2026
מעלין בקודש - מאירים באתר ישיבה,הסתיים,הגדלת הקהל,6 במאי 2026,214.86 ₪,"2,209",98,3,0,16 במאי 2026
