תוכן,שם הסרטון,שעת פרסום הסרטון,אורך,צפיות,זמן צפייה (שעות),מנויים
"סה""כ",,,,156834,1974.2306,788
vykbJ0v6U58,"מה הרצי""ה אמר? - הרב זלמן מלמד","Jun 3, 2026",46,38220,173.2636,19
mplKrk7F28A,"🔴 שידור חי | יום ירושלים בבית אל: שר המורשת, אלוף הפיקוד והרב זלמן מלמד","May 15, 2026",10815,1123,132.5201,3
5A-Jz56h8Ic,"""בשלהבת אש קודש"" 🔥 התוועדות הכנה למתן תורה בישיבת בית אל | שידור חי🔴","May 21, 2026",6285,848,100.2296,1
OI5Vv_D9ZU8,"ועל ידי זה | אנא עבדא | אנחנו מודים לך | שובה ה' | מזמור לתודה - הרקדה מטורפת בסיום כנס אסופות תשפ""ו","Jun 2, 2026",1236,1056,76.043,10
euAGhtgGstI,"כנס אסופות 6  תשפ""ו | כנס עולם הישיבות | מקדש עמו ישראל - אישות ומשפחה.","May 29, 2026",12714,1068,75.4016,1
yo58igUqYqI,לא בדיבורים אלא במעשים: הדרך היחידה לחיבור בעם ישראל | נקודה למחשבה - הרב מאיר קלמן בר,"Jul 1, 2026",321,3490,65.1144,0
C4GSR4O6efg,מעלין בקודש - מאירים באתר ישיבה ,"May 1, 2026",70,16417,59.2918,0
mr3KnqxY4r4,"למה אנחנו עדיין לא בונים את בית המקדש? הרב מרדכי גרינברג שליט""א | כנס אסופות תשפ""ו","Jun 2, 2026",751,3956,58.6793,0
0U-n19MSndc,נדרים וארץ ישראל - מה הקשר? הרב ינון גרוסברג | רגע בפרשה - מטות מסעי,"Jul 9, 2026",177,3003,49.9893,0
0d6AM16ULOM,"שידור חי 🔥 חגיגות ל""ג בעומר תשפ""ו בישיבת בית אל 🔥 הדלקה מרכזית ושיעורים מרבני הישיבה.","May 5, 2026",7301,728,48.5172,2
qeBUNLcFNXo,"למה המגיד מדובנא לא אמר ""תיקון ליל שבועות""? משל חנות הבדים #הגאון_מווילנה #תורה #אמונה #משל_ומסר","May 18, 2026",77,6467,44.8773,16
4Hhmwffd-5A,ויאתיו כל לעבדך - ויתנו לך כתר מלוכה,"Sep 11, 2015",286,783,35.7841,0
QLHfl2jgl8s,🔴שידור חי: מצטרפים עכשיו לתפילת חג יום ירושלים בישיבת בית אל,"May 15, 2026",3306,833,33.0762,1
